번호,설립,학교명,캠퍼스명,학급,학종,지역,조사연도,한달 기숙사비,,,,,,,,,,,,,,,
,,,,,,,,직영,,,,민자,,,,임차,,,,평균,,,
,,,,,,,,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상
24,사립,경남대학교,본교(마산),대학,일반대학,경남,2022,0.0,176.6,172.6,119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.6,172.6,119.2
25,사립,경남대학교,산단캠퍼스,대학,일반대학,경남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,사립,경동대학교,설악제1캠퍼스,대학,일반대학,강원,2022,0.0,212.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.4,0.0,0.0
27,사립,경동대학교,문막캠퍼스,대학,일반대학,강원,2022,0.0,0.0,0.0,0.0,252.9,252.9,0.0,0.0,0.0,0.0,0.0,0.0,252.9,252.9,0.0,0.0
28,사립,경동대학교,속초캠퍼스,대학,일반대학,강원,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,사립,경동대학교,양주캠퍼스,대학,일반대학,경기,2022,265.0,274.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,274.3,0.0,0.0
30,국립,경북대학교,제2캠퍼스(대구중구),대학,일반대학,대구,2022,0.0,0.0,0.0,0.0,267.0,157.1,0.0,0.0,0.0,0.0,0.0,0.0,267.0,157.1,0.0,0.0
31,국립,경북대학교,본교(대구북구),대학,일반대학,대구,2022,183.5,147.5,140.0,0.0,311.5,166.6,0.0,0.0,0.0,0.0,0.0,0.0,230.0,159.1,140.0,0.0
32,국립,경북대학교,제3캠퍼스(상주),대학,일반대학,경북,2022,208.5,148.6,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.5,148.6,0.0,103.2
33,국립,경상국립대학교,내동캠퍼스,대학,일반대학,경남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,국립,경상국립대학교,가좌캠퍼스(본교),대학,일반대학,경남,2022,0.0,144.9,0.0,0.0,250.0,158.6,0.0,0.0,0.0,0.0,0.0,0.0,250.0,155.1,0.0,0.0
35,국립,경상국립대학교,산단캠퍼스,대학,일반대학,경남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,국립,경상국립대학교,통영캠퍼스,대학,일반대학,경남,2022,94.7,125.2,80.4,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,125.2,80.4,62.6
37,국립,경상국립대학교,칠암캠퍼스,대학,일반대학,경남,2022,0.0,155.2,0.0,0.0,349.6,211.2,0.0,0.0,0.0,0.0,0.0,0.0,349.6,179.2,0.0,0.0
38,사립,경성대학교,본교,대학,일반대학,부산,2022,365.0,243.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,243.7,0.0,0.0
39,사립,경운대학교,산단캠퍼스,대학,일반대학,경북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,사립,경운대학교,본교(구미),대학,일반대학,경북,2022,0.0,186.3,159.6,137.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.3,159.6,137.7
41,사립,경일대학교,본교(경산),대학,일반대학,경북,2022,0.0,214.3,147.8,148.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.3,147.8,148.3
42,사립,경주대학교,본교(경주),대학,일반대학,경북,2022,0.0,185.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.8,0.0,0.0
43,사립,경희대학교,국제캠퍼스(수원),대학,일반대학,경기,2022,532.2,313.0,0.0,0.0,411.1,359.5,0.0,0.0,0.0,0.0,0.0,0.0,522.6,345.9,0.0,0.0
44,사립,경희대학교,본교(서울),대학,일반대학,서울,2022,570.5,268.1,0.0,0.0,285.0,225.0,0.0,0.0,48.9,228.7,48.9,0.0,348.7,238.5,48.9,0.0
45,사립,계명대학교,본교(성서),대학,일반대학,대구,2022,332.3,227.7,0.0,148.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.3,227.7,0.0,148.7
46,사립,계명대학교,제2캠퍼스(대명),대학,일반대학,대구,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,사립,고려대학교,본교(서울),대학,일반대학,서울,2022,506.5,400.6,221.2,0.0,475.9,386.7,0.0,0.0,0.0,0.0,0.0,0.0,505.8,392.0,221.2,0.0
48,사립,고려대학교,분교(세종),대학,일반대학,세종,2022,480.3,303.3,216.9,211.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.3,303.3,216.9,211.8
49,사립,고신대학교,본교(영도),대학,일반대학,부산,2022,0.0,0.0,0.0,152.0,285.3,239.6,0.0,206.5,0.0,0.0,0.0,0.0,285.3,239.6,0.0,186.2
50,사립,고신대학교,천안캠퍼스,대학,일반대학,충남,2022,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
51,사립,고신대학교,송도캠퍼스,대학,일반대학,부산,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,국립,공주대학교,본교(신관),대학,일반대학,충남,2022,189.6,175.8,0.0,0.0,197.1,197.1,0.0,0.0,0.0,0.0,0.0,0.0,192.6,185.3,0.0,0.0
53,국립,공주대학교,제3캠퍼스(예산),대학,일반대학,충남,2022,0.0,0.0,0.0,179.1,0.0,221.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.8,0.0,179.1
54,국립,공주대학교,제2캠퍼스(공주옥룡),대학,일반대학,충남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,국립,공주대학교,제4캠퍼스(천안),대학,일반대학,충남,2022,296.9,181.0,0.0,0.0,0.0,224.1,0.0,0.0,0.0,0.0,0.0,0.0,296.9,190.8,0.0,0.0
56,사립,광신대학교,본교(광주),대학,일반대학,광주,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,사립,광운대학교,본교(서울노원),대학,일반대학,서울,2022,0.0,0.0,0.0,274.5,192.0,274.5,0.0,0.0,0.0,0.0,0.0,0.0,192.0,274.5,0.0,274.5
58,사립,광주가톨릭대학교,본교(나주),대학,일반대학,전남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,사립,광주대학교,본교(광주진월),대학,일반대학,광주,2022,0.0,0.0,0.0,113.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.9
60,사립,광주여자대학교,본교(광산),대학,일반대학,광주,2022,0.0,0.0,0.0,152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.5
61,사립,국민대학교,본교(서울),대학,일반대학,서울,2022,224.4,235.1,204.3,200.5,0.0,0.0,0.0,0.0,484.2,303.3,0.0,0.0,475.3,274.2,204.3,200.5
62,국립,군산대학교,본교(군산),대학,일반대학,전북,2022,158.2,147.0,0.0,138.9,0.0,158.2,158.2,0.0,0.0,0.0,0.0,0.0,158.2,148.8,158.2,138.9
63,국립,군산대학교,산단캠퍼스,대학,일반대학,전북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,사립,극동대학교,본교(음성),대학,일반대학,충북,2022,428.6,249.7,0.0,194.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.6,249.7,0.0,194.4
65,사립,금강대학교,본교,대학,일반대학,충남,2022,0.0,141.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.7,0.0,0.0
66,국립,금오공과대학교,본교(경북구미),대학,일반대학,경북,2022,240.0,129.6,0.0,186.3,259.2,161.0,140.7,0.0,0.0,0.0,0.0,0.0,247.2,151.2,140.7,186.3
67,국립,금오공과대학교,산단캠퍼스,대학,일반대학,경북,2022,240.0,224.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,224.4,0.0,0.0
68,사립,김천대학교,본교,대학,일반대학,경북,2022,0.0,245.2,53.8,120.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.2,53.8,120.3
69,사립,나사렛대학교,본교(천안),대학,일반대학,충남,2022,328.1,217.0,0.0,187.6,348.7,219.8,0.0,0.0,0.0,0.0,0.0,0.0,334.0,219.2,0.0,187.6
70,사립,남부대학교,본교(광산),대학,일반대학,광주,2022,0.0,307.2,333.0,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.2,333.0,307.2
71,사립,남서울대학교,본교(충남천안),대학,일반대학,충남,2022,421.4,290.4,0.0,136.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.4,290.4,0.0,136.8
72,사립,단국대학교,본교(죽전),대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,429.6,355.7,0.0,234.0,0.0,0.0,0.0,0.0,429.6,355.7,0.0,234.0
73,사립,단국대학교,캠퍼스(천안),대학,일반대학,충남,2022,0.0,0.0,0.0,234.0,429.6,355.7,0.0,234.0,0.0,0.0,0.0,0.0,429.6,355.7,0.0,234.0
